Incident ID,Department,Officer Name,Off duty?,Officer Age,Officer Race/Ethnicity,Officer Gender,Post action
191,Dallas PD,Richard Cantu,,U,H,M,
191,Dallas PD,Jesse Aquino,,U,H,M,
192,Dallas PD,Brian Simonds,,U,B,M,
193,Dallas PD,Cardan Spencer,,U,B,M,"Fired, indicted"
194,Dallas PD,John Ross,,U,B,M,
195,Dallas PD,Amy Wilburn,,U,W,F,"Fired, indicted"
196,Dallas PD,Manuel Ortiz,,U,H,M,
196,Dallas PD,Robert Wilcox,,U,W,M,
196,Dallas PD,Jason Scoggins,,U,W,M,
196,Dallas PD,Derreck Evangelista,,U,W,M,
197,Dallas PD,Joshua Burns,,U,W,M,
197,Dallas PD,Salvador Varillas,,U,H,M,
198,Dallas PD,John Casey,,U,W,M,
199,Dallas PD,Jacqueline Moore,Y,U,W,F,
200,Dallas PD,Robert Hamilton,,U,A,M,
200,Dallas PD,Marshall Milligan,,U,W,M,
200,Dallas PD,Gerardo Huante,,U,H,M,
201,Dallas PD,Derek Bryant,,U,B,M,
202,Dallas PD,Michael Mondy,,U,B,M,
203,Dallas PD,John Rogers,,U,W,M,
203,Dallas PD,Andrew Hutchins,,U,W,M,
204,Dallas PD,Edward Tena,,U,H,M,
204,Dallas PD,Joseph Bowling,,U,W,M,
204,Dallas PD,Dameon Sansom,,U,B,M,
205,Dallas PD,Jeffrey Berry,,U,W,M,
205,Dallas PD,Daniel Arrivillaga,,U,H,M,
206,Dallas PD,Antonio Hudson,Y,U,H,M,
207,Dallas PD,Kevin Gladden,,U,W,M,
208,Dallas PD,Jay Jankowski,,U,W,M,
208,Dallas PD,Michelle Herczeg,,U,W,F,
209,Dallas PD,Ruben Martinez Jr.,Y,U,H,M,
210,Dallas PD,Rogelio Moreno,,U,H,M,
211,Dallas PD,Jose Gamez,Y,U,H,M,
212,Dallas PD,Michael DeWilde,,U,W,M,
213,Dallas PD,Ryan Walls,,U,W,M,
214,Dallas PD,Michael Johnson,,U,B,M,
215,Dallas PD,Larry Moody,Y,U,B,M,
216,Dallas PD,Aaron Tollerton,Y,U,W,M,
217,Dallas PD,Jose Bernal,,U,H,M,
218,Dallas PD,Keith Rieg,,U,W,M,
218,Dallas PD,Mark Lang,,U,W,M,
218,Dallas PD,Christopher Webb,,U,W,M,
218,Dallas PD,Stephen Thompson,,U,W,M,
218,Dallas PD,Daniel Babb,,U,W,M,
218,Dallas PD,Jason Crow,,U,W,M,
218,Dallas PD,Cynthia Arispi,,U,H,F,
218,Dallas PD,Michelle Ochoa,,U,H,F,
218,Dallas PD,Christopher Vanderslice,,U,W,M,
218,Dallas PD,Thomas Nowiki,,U,W,M,
218,Dallas PD,Mark King,,U,W,M,
218,Dallas PD,Emmanuel Strand,,U,A,M,
218,Dallas PD,Carlos Guerra,,U,H,M,
218,Dallas PD,Jason Brower,,U,W,M,
218,Dallas PD,Maurico Hill,,U,B,M,
218,Dallas PD,Raciel Hernandez,,U,H,M,
219,Dallas PD,Darren Burch,,U,W,M,
220,Dallas PD,Leonard Anderson,Y,U,B,M,
221,Dallas PD,Robert Cummings,,U,W,M,
221,Dallas PD,Stephen Prince,,U,W,M,
221,Dallas PD,Lonnie Howard,,U,W,M,
221,Dallas PD,Matthew Hooker,,U,O,M,
222,Dallas PD,Mathew Terry,,U,W,M,
222,Dallas PD,Scott Neal,,U,W,M,
222,Dallas PD,Bryan Joseph,,U,B,M,
222,Dallas PD,Kevin Thomas,,U,B,M,
222,Dallas PD,Rachel Rice,,U,W,F,
222,Dallas PD,Lucas Flores,,U,H,M,
223,Dallas PD,Christopher Hill,,U,W,M,
223,Dallas PD,Theron Akin,,U,W,M,
224,Dallas PD,Alexander Zabriske,,U,W,M,
225,Dallas PD,Shannon Browning,Y,U,B,M,
225,Dallas PD,Antonio Barrientos,Y,U,H,M,
225,Dallas PD,Edmundo Lujan,Y,U,H,M,
226,Dallas PD,Kevin Hayden,,U,B,M,
227,Beaumont PD,Raymond Shearer,,50,W,M,
227,Beaumont PD,Jeffrey Hancock,,40,W,M,
228,Beaumont PD,Aaron Lewallen,,38 or 39,W,M,
228,Beaumont PD,M. Custer,,51 or 52,W,M,
228,Beaumont PD,L. Tiner,,41 or 42,W,M,
228,Beaumont PD,John Paul Courts,,32 or 33,W,M,
228,Beaumont PD,W.S. Jensen,,34 or 35,W,M,
228,Beaumont PD,D. Valdez,,48 or 49,W,M,
228,Beaumont PD,Aaron Wade Pickering,,32,W,M,
229,Beaumont PD,Assisting Jefferson Co.,,U,U,U,
230,Beaumont PD,Isiah Volrie,,33,B,M,
231,Beaumont PD,Gary Whitbey,,51,W,M,
232,Beaumont PD,Erin Micah Smith,,32,W,M,
233,Beaumont PD,Joshua Aaron Beard,,U,U,M,
234,Fort Worth PD,Christopher Jones,,29,W,M,
236,Fort Worth PD,William Margolis,,39,W,M,
236,Fort Worth PD,N. Ramirez,,U,U,U,
237,Fort Worth PD,Jeffrey Bradford,,43,W,M,
238,Fort Worth PD,Gregory Williams,,51,B,M,
